path,path_i,control,sub,day,condition,num_bad_channels,n_elem_raw,length_raw,n_epochs_10,length_10,n_epochs_3,length_3,K_median,K_median_interpolated,Freq,Nopeak,PCF_mean,OR_mean,Lyaps_max,Dims_mean,Ent_mean,LZC_mean,KDF_mean,Lyaps_max_interpolated,Dims_mean_interpolated,Ent_mean_interpolated,LZC_mean_interpolated,KDF_mean_interpolated,slope_id,slope_id_interpolated,HURST_FH_1-45Hz,HURST_DFA_1-45Hz,HURST_FH_interpolated_1-45Hz,HURST_DFA_interpolated_1-45Hz,HURST_FH_1-4Hz,HURST_DFA_1-4Hz,HURST_FH_interpolated_1-4Hz,HURST_DFA_interpolated_1-4Hz,HURST_FH_4-8Hz,HURST_DFA_4-8Hz,HURST_FH_interpolated_4-8Hz,HURST_DFA_interpolated_4-8Hz,HURST_FH_8-13Hz,HURST_DFA_8-13Hz,HURST_FH_interpolated_8-13Hz,HURST_DFA_interpolated_8-13Hz,HURST_FH_13-30Hz,HURST_DFA_13-30Hz,HURST_FH_interpolated_13-30Hz,HURST_DFA_interpolated_13-30Hz,HURST_FH_30-45Hz,HURST_DFA_30-45Hz,HURST_FH_interpolated_30-45Hz,HURST_DFA_interpolated_30-45Hz,mean_iei,tau,tau_dist,tau_dist_TR,alpha,alpha_dist,alpha_dist_TR,third,dcc_cn,avl_br,br,rep_dissimilarity_avg,rep_size,fano,chi_test,chi_notest,sig_length,len_avls,data_mean,data_std,MAX_TRIALS,MAX_S,elapsed_time_sec,timestamp_est
0_00_01_jhana_02_026_1253_100_1000_406_1218_epo.fif,0,0,0,1.0,jhana,2,26,1253,100,1000,406,1218,0.8398517794199434,0.8417790351957601,3.8802447551936927,,6.538563973272023,0.6048360620585123,0.177101463405746,3.8813333333333335,0.9280831206455056,0.3023618195559235,2.421759439636441,0.177101463405746,3.8813333333333335,0.9280831206455056,0.3023618195559235,2.421759439636441,-3.384006461063131,-3.466300844314328,0.7677837280683563,0.4954131380132399,0.7687087333601362,0.4924509446808136,0.7983818382639238,0.425378311370958,0.798956433959284,0.4249704887886349,0.7632353893505626,0.1992397689507529,0.7632211592998297,0.1963369997351187,0.7703685529520816,0.4339408857834665,0.770531463201302,0.4334323691279289,0.6726779553969483,0.0109181212878806,0.6734202047277393,0.0113180007615063,0.6379143440680519,0.1034921813465364,0.6362526526596621,,0.3712488425925926,1.7014726478242277,T,21.59641745150921,1.698768885788163,T,31.36313129822088,1.4773033763669396,0.481157784724059,0.0026829995140771,0.5826395381073952,0.26045498046875,0.6384537448367236,2.541944278720206,0.0012240696915394,0.0012240696915394,1253.02734375,1601.0,1.450907955589361e-05,1.9637225184686543e-05,,,,
0_00_01_mindf_00_017_1384_120_1200_444_1332_epo.fif,1,0,0,1.0,mindf,0,17,1384,120,1200,444,1332,0.834466563106923,0.834466563106923,4.086793493593802,0.0729166666666666,7.0976927249364685,0.633349791231692,0.1750716478438803,3.8033854166666665,0.8882284896215363,0.3142576757929256,2.484172736365657,0.1750716478438803,3.8033854166666665,0.8882284896215363,0.3142576757929256,2.484172736365657,-3.159073038778354,-3.353567393813325,0.7347518831800933,0.3784723147718267,0.7347518831800933,0.3784723147718267,0.7843469703285851,0.1784736167994481,0.7843469703285851,0.1784736167994481,0.7542832840528217,0.2143405675343093,0.7542832840528217,0.2143405675343093,0.7603252031218678,0.4142952078742127,0.7603252031218678,0.4142952078742127,0.6736555181376336,0.1495756976723983,0.6736555181376336,,0.6272409228244308,,0.6272409228244308,,0.4237808960820324,1.7304261784965962,T,22.69554057186351,1.7495375922798,L,29.02232735602276,1.5294170596542744,0.5032523159117377,0.0030050386042272,0.5260561705183732,0.2351661821655355,0.5944048841592091,2.348388115615124,0.0009677232435902,0.0009677232435902,1384.578125,1707.0,1.1646752984023776e-05,1.535716703386207e-05,,,,
0_00_02_jhana_03_024_1308_106_1060_416_1248_epo.fif,2,0,0,2.0,jhana,3,24,1308,106,1060,416,1248,0.8334281287433645,0.8321427027115528,4.409521670849131,,7.516562328998348,0.6487319684667373,0.1771035837711909,3.851659076122316,0.921368097145879,0.3096746107636427,2.437900177565416,0.1771035837711909,3.851659076122316,0.921368097145879,0.3096746107636427,2.437900177565416,-3.1732818963303897,-3.36310268206448,0.747373863525236,0.3223665112746591,0.7458112937768067,0.3165786290747608,0.7936621166413146,0.2213342095224312,0.7940464116367959,0.2202404873209459,0.755651751973613,0.1764326004889143,0.7572885324591163,0.1817064991705034,0.7667496264533991,0.361862992607607,0.7670094690614477,0.3570903903337691,0.6503587996525113,0.0913345074399356,0.6492819402427901,,0.6127786526173487,0.1137045494919844,0.6144074048170522,,0.4172216189831049,1.7207154781691554,L,-12.72544496667619,1.7587634553947622,T,31.48299505976543,1.4860400362063606,0.4332480837950418,0.0032727098782702,0.5574378448220636,0.2506057440273761,0.5982379485710193,2.55659621144239,0.001132126885827,0.001132126885827,1308.84375,1633.0,1.0083960478793011e-05,1.3176998974793426e-05,,,,
0_00_02_mindf_09_029_1231_092_0920_388_1164_epo.fif,3,0,0,2.0,mindf,9,29,1231,92,920,388,1164,0.8405794846636221,0.8430752809526875,4.568362223477652,,7.531019154721696,0.6515091142483322,0.1768371369003484,3.9565217391304346,0.9199324869748408,0.3100354305520461,2.433834071316498,0.1768371369003484,3.9565217391304346,0.9199324869748408,0.3100354305520461,2.433834071316498,-3.181096156727116,-3.3729786995561897,0.7364168928173358,0.434244742476441,0.7330210665690415,0.4249817071008964,0.7862321908480052,0.3575650781339679,0.7860950566820818,0.3552984591099089,0.7463254905174455,0.1747727013009694,0.7474117276444667,0.1715500477577276,0.7534603783215373,0.3948595826682299,0.7514004780747685,0.3846622904007832,0.6625358701078771,0.0778842605763723,0.6611562343552473,0.064163634940714,0.6158680740005105,-0.0074282747855582,0.6156349526731832,,0.3946851970522269,1.720646991241743,T,20.27302883486388,1.7827723058950724,T,32.27825500301611,1.4910655494863632,0.404857856387858,0.0042131495099088,0.5170188440489286,0.248663581743284,0.6364504089120308,2.761252921928268,0.0012781287952323,0.0012781287952323,1231.83203125,1598.0,1.2486111400500509e-05,1.7046914328768872e-05,,,,
0_00_03_jhana_03_021_1306_111_1110_423_1269_epo.fif,4,0,0,3.0,jhana,3,21,1306,111,1110,423,1269,0.810065921694032,0.8096431195860682,4.266193086901551,,6.497791380839757,0.6014841831460144,0.1756743656386417,3.724448586517552,0.8947191730959558,0.3122095204025778,2.440827696289102,0.1756743656386417,3.724448586517552,0.8947191730959558,0.3122095204025778,2.440827696289102,-3.1536111011660743,-3.513984387828593,0.7463584981109473,0.3909960725456112,0.748951770480363,0.4115274722273357,0.7799553027124302,0.2309500323073894,0.7791181966370087,0.2071700360827043,0.7588889592650458,0.2206662292959914,0.7588497033011325,,0.767661237999891,0.3963314591095724,0.7686405279873786,0.4051258604145447,0.6597349919608371,0.1105111508742756,0.663289363687813,,0.6186171868160217,-0.0096793241460656,0.6180405894781018,,0.3819355634317451,1.7140422405801956,T,26.391566427117183,1.7036539941609794,L,28.187881835659947,1.498531962868514,0.5130804669048791,0.0026774257559117,0.5678244754157488,0.2434437342212561,0.638287567826126,2.267315724991802,0.0010396255529099,0.0010396255529099,1306.62109375,1712.0,1.1143214719113996e-05,1.6419002327080772e-05,,,,
0_00_03_mindf_00_021_1428_122_1220_454_1362_epo.fif,5,0,0,3.0,mindf,0,21,1428,122,1220,454,1362,0.8208331608498058,0.8208331608498058,4.130138442453508,0.0438012295081967,6.633264102627065,0.6102197537284373,0.1752923425711277,3.7822745901639343,0.8904760057339975,0.3154090620231983,2.466654031115389,0.1752923425711277,3.7822745901639343,0.8904760057339975,0.3154090620231983,2.466654031115389,-3.12230171696704,-3.329339181954853,0.7364519359454305,0.3848383552007519,0.7364519359454305,0.3848383552007519,0.7817950991346589,0.2791595296119732,0.7817950991346589,0.2791595296119732,0.7541881493404865,0.2256799589107625,0.7541881493404865,,0.7503296485650057,0.3915244226434106,0.7503296485650057,0.3915244226434106,0.6641384651121123,0.124188886671041,0.6641384651121123,,0.6203248304449904,0.1349234667049388,0.6203248304449904,,0.3998186852603583,1.7384273529029362,T,23.914704046604427,1.7499101002641226,L,28.9301887862796,1.5013910968202908,0.485840823234074,0.0028685731866845,0.547707689918139,0.2383455148008915,0.6000678314716147,2.186068176892585,0.0009353714878686,0.0009353714878686,1428.171875,1847.0,1.1417498208424784e-05,1.5134987399697024e-05,,,,
0_00_04_jhana_04_019_1289_108_1080_415_1245_epo.fif,6,0,0,4.0,jhana,4,19,1289,108,1080,415,1245,0.8608512407905478,0.8603114779328069,3.726291530981627,,7.398513479979187,0.6426671088938092,0.1802339811266582,3.906415343915344,0.9402252676184524,0.29680310245956,2.406468464286013,0.1802339811266582,3.906415343915344,0.9402252676184524,0.29680310245956,2.406468464286013,-3.312084688177497,-3.447653551170682,0.7588472314089384,0.3947923829507446,0.7605320344025651,0.4053623700792983,0.8104119605889658,0.3244619157800893,0.8110240207743281,0.330287624064667,0.7719269638594655,0.2584881982614448,0.7707792392274773,0.2594456601828794,0.7738723888028546,0.415313616939694,0.7743611923700677,0.4259460294355117,0.6608794763828248,0.0810225126349684,0.663268665537606,,0.6385905121409581,0.0890824823945474,0.6361385158212608,,0.4051079652624961,1.7366085674125027,T,25.297768825604763,1.7769254878325018,L,30.15766152470597,1.4744094547715592,0.4196762868400199,0.0033416674871342,0.5325177465303208,0.2472615581476449,0.5754551788906056,2.2779268692689008,0.0009654827654689,0.0009654827654689,1289.4140625,1601.0,1.286011642515329e-05,1.66882883289318e-05,,,,
0_00_04_mindf_06_030_1166_090_0900_363_1089_epo.fif,7,0,0,4.0,mindf,6,30,1166,90,900,363,1089,0.8100906618031205,0.8132648643769405,2.443350837012196,,8.106329810149902,0.6748517417623809,0.1817467908776554,4.097863247863248,0.8507709423856399,0.283957298161053,2.368831299317589,0.1817467908776554,4.097863247863248,0.8507709423856399,0.283957298161053,2.368831299317589,-3.381867431008974,-3.4364998021267983,0.7424780266341778,0.4097258366322833,0.7453042320299355,0.4219052943094084,0.8044531467575743,0.3684485965136403,0.8034181866735295,0.3789615899138576,0.748479610138668,0.2131089681636471,0.7482713934189471,0.2167901310484177,0.7619194752502528,0.413149280933409,0.7632763043110408,0.4269012019706322,0.6665730949441838,0.1029279728461869,0.6690925033160942,,0.6372706362161629,0.2431265480830226,0.634893474027235,,0.3964226554536187,1.731531092553146,T,18.089729942492475,1.7769273902491765,T,31.007061055201927,1.5137713110811863,0.4517147585188188,0.0039704575981241,0.5105241922943361,0.232251125741523,0.6291295162267765,2.1214464425853814,0.0009127235065513,0.0009127235065513,1166.69140625,1502.0,1.4074895170319131e-05,1.8396777606963e-05,,,,
0_00_NA_nimit_01_004_0302_026_0260_097_0291_epo.fif,8,0,0,,nimit,1,4,302,26,260,97,291,0.8296849497429261,0.8294798996274839,4.1204419251551,,6.937293010791257,0.6205247845967934,0.1766424515164125,3.923076923076923,0.8930900669371952,0.3069281995946512,2.382132720888733,0.1766424515164125,3.923076923076923,0.8930900669371952,0.3069281995946512,2.382132720888733,-2.9279289982887846,-3.3514150279653534,0.7739536406921411,0.4322604863668847,0.7739726985353257,0.431112545923782,0.7952966708399372,0.2929374324713921,0.795747259555818,0.2905103098602593,0.7450926704883741,0.183840270445096,0.7451461424156381,,0.7729070378148942,0.4065402432918928,0.7733808934746729,0.4078391494341715,0.6981517624558581,0.1667716559457385,0.6977707333951331,,0.6375031330994775,-0.2012799635082349,0.6369169247580185,,0.3719163716133005,1.7231148311251137,T,14.681997127080423,1.7483230744220242,L,13.696715880237196,1.5036640978259193,0.4688034612964646,0.0095196503266458,0.5784174716297088,0.2299291617473435,0.7648610895545553,2.2914299403395533,0.0010845363751267,0.0010845363751267,302.015625,394.0,1.0587424839469182e-05,1.423930234702589e-05,,,,
0_00_NA_nimit_01_007_0264_018_0180_083_0249_epo.fif,9,0,0,,nimit,1,7,264,18,180,83,249,0.8830733002040584,0.8824595419904268,4.30318028049023,,9.228897559705716,0.7273966068405959,0.182649342670933,3.996415770609319,0.9057612009079103,0.2582244184947848,2.091522277111976,0.182649342670933,3.996415770609319,0.9057612009079103,0.2582244184947848,2.091522277111976,-3.4525093320399325,-3.421165545749332,0.8355697960272592,0.6724482510363718,0.8355748963653623,0.6751320741263304,0.833487325873602,0.7250806839879832,0.8329240424036163,0.7258372619078546,0.7581005187517932,0.2697463748247481,0.7587574877976575,0.2690000813050088,0.7714363163259262,0.3379844427137483,0.7719783558995222,0.3458471309274593,0.6747550863344464,-0.0425638433861747,0.6753907241563548,-0.0442043871574564,0.6147100576357097,0.1983744990017765,0.6150719777180227,,0.322875381097561,1.66341199013539,T,13.3135755145808,1.6602634461800143,T,14.881022560067647,1.491088442903599,0.4958344288100842,0.0115765959120157,0.5535688098462719,0.2714475723140496,0.8305559651968736,3.26991452552712,0.0020087358347439,0.0020087358347439,264.8828125,352.0,1.680360122328407e-05,2.407486573338344e-05,,,,
